Name,Category,Dimension,Description,Data,"Indicator/Index/Metrics ",Note,Ref
Access to healthcare,Health determinants,Physical Env.,Ratio of Healthcare Facilities to the Population within an area,Infrastructure data,"$\text{Population-to-Facility Ratio} = \frac{\text{Total Population in Geographical Area}}{\text{Total Number of Healthcare Facilities in the Area}}$

This can additionally be normalised across all areas for relatively easier comparison by utilising the following:

$\text{Score} = \frac{{\text{Population-to-Facility Ratio} - \text{Minimum Population-to-Facility Ratio}}}{\text{Range}} \times 100
$,
where score is the normalised score out of 100, Population-to-Facility Ratio is the original Ratio of the area, Minimum Population-to-Facility Ratio is the lowest ratio observed in the dataset across all areas, and range is the difference between the highest and lowest ratios in the dataset. ",,
Bikeability,Health determinants,Physical Env.,"Density of  cycling routes, including dedicated bike lanes, shared paths, and bike-friendly streets.",Road vector data,$\text{Cycling Route Density} = \frac{\text{Total Length of Cycling Routes}}{\text{Area of Analysis}}$,,
Land use diversity,Health determinants,Physical Env.,h-index based on land use,Land use data,"$H' = - \sum_{i=1}^{n} (p_i \cdot \log_2(p_i))$
where $H'$ represents the diversity index
$n$ is the number of land use categories
$p_i$ is the proportion of land area occupied by the $i$ th category",Mixed use has been conceptualized as a key ingredient needed to support walking and recent studies suggest mixed use is important in maintaining healthy weight as well.,"https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30067-8/fulltext
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30066-6/fulltext"
Exposure to rail noise,Health determinants,Physical Env.,Annual average noise levels for the 16-hour period between 0700 – 2300,Sensors,"A receptor height of 4m above ground, suggested noise level classification for rail noise: 75.0+dB, 70.0-74.9dB, 65.0-69.9dB, 60.0-64.9dB, 55.0-59.9dB, <54.9dB",,https://www.gov.uk/government/publications/strategic-noise-mapping-2019
Flooding Risk,Health determinants,Physical Env.," Probability of flooding occurring in a given area.",Remote sensing data,"Uses local water level and flood defence data to model flood risk across different flood
likelihoods.
• High: each year, there is a chance of flooding of greater than 1 in 30 (3.3%).
• Medium: each year, there is a chance of flooding of between 1 in 30 (3.3%) and 1 in 100 (1%).
• Low: each year, there is a chance of flooding of between 1 in 100 (1%) and 1 in 1000 (0.1%).
• Very Low: each year, there is a chance of flooding of less than 1 in 1000 (0.1%).","The classes are categorical. The effects of flooding on
health are extensive and significant, ranging from mortality and injuries resulting from trauma
and drowning to infectious diseases and mental health problems.
",https://www.gov.uk/government/publications/flooding-and-health-advice-for-frontline-responders/flooding-and-health-an-overview
Exposure to roads noise,Health determinants,Physical Env.,Noise along major traffic routes,Sensors,-,,https://www.gov.uk/government/publications/strategic-noise-mapping-2019
Access to public open space,Health determinants,Physical Env.,"Percentage of residential households within a area, with access to at least one open space by specified type of space",Green space data,"Area-based accessibility:
$\text{Percentage} = \frac{\text{Number of Residential Households with Access to Specified Open Space}}{\text{Total Number of Residential Households in the Area}} \times 100$
Buffer-based accessibility:

","Buffers of different categories of opensace:
Regional Parks = 5km max
Metropolitan Parks = 2.4km max
District = 1.2km max",https://data.london.gov.uk/dataset/access-public-open-space-and-nature-ward?resource=9d671c10-bb3c-460b-9d63-91a9e25f08dc
Air quality (PM10/PM2.5),Health determinants,Physical Env.,Annual mean µg/m3 (microgramme per cubic metre) for particulate matter with an aerodynamic diameter of less than or equal to 10 micrometres (PM10) or 2.5 micrometres (PM2.5),Remote sensing data,"

$\text{Annual mean PM}_{10} (\mu g/m^3) = \frac{\sum_{i=1}^{n} \text{PM}_{10_i}}{n}$
$\text{Annual mean PM}_{2.5} (\mu g/m^3) = \frac{\sum_{i=1}^{n} \text{PM}_{2.5_i}}{n}$","The annual PM2.5 guideline level recommended by the WHO is 5 µg/m³. The annual interim targets for PM2.5 start at 35 µg/m³ (target 1) and decrease to 25, 15, and 10 µg/m³ for targets 2, 3, and 4, respectively.
The annual PM10 guideline level recommended by the WHO is 15 µg/m³. The annual interim targets for PM10 start at 70 µg/m³ (target 1) and decrease to 50, 30, and 20 µg/m³ for targets 2, 3, and 4, respectively.",https://www.who.int/publications/i/item/9789240034228
Walkability,Health determinants,Physical Env.,"Walkability involves assessing how friendly an area is to walking, which can depend on a variety of factors including the presence and quality of pedestrian pathways, safety, accessibility to services and amenities, and the overall environment.",,"$\text { Walkability Index }=w_1 \cdot F_1+w_2 \cdot F_2+\ldots+w_n \cdot F_n$
where $F1,F2,...,Fn$ are factors contributing to walkability. These could be distance to amenities, walkable routes density, population density, block length, traffic data and so on.",,
Greenery/NDVI,Health determinants,Physical Env.,Normalized Difference Vegetation Index (NDVI),Remote sensing data,"$\text{NDVI} = \frac{\text{NIR} - \text{Red}}{\text{NIR} + \text{Red}}$
where: $\text{NIR}$ represents the spectral reflectance or radiance value in the near-infrared band, and $\text{Red}$ represents the spectral reflectance or radiance value in the red band. ","The NDVI value ranges from -1 to 1, where higher values indicate denser and healthier vegetation.",https://www.usgs.gov/landsat-missions/landsat-normalized-difference-vegetation-index
Air quality (NO2),Health determinants,Physical Env.,Annual mean µg/m3 (microgramme per cubic metre) for particulate matter with an aerodynamic diameter of less than or equal to 2.5 micrometres (PM2.5),Remote sensing data,$\text{Annual mean NO}_{2} (\mu g/m^3) = \frac{\sum_{i=1}^{n} \text{NO}_{2_i}}{n}$,"The annual NO2 guideline level recommended by the WHO is 5 µg/m³.
There are three interim targets for annual averages: 40, 30, and 20 µg/m³ for targets 1, 2, and 3, respectively.",https://www.who.int/publications/i/item/9789240034228
Summer heat spots,Health determinants,Physical Env.,Average Local Solar Time (LST) in summer daytime.,Remote sensing data,"$\text{Average LST} = \frac{1}{N} \sum_{i=1}^{N} \left(\text{Sunrise Time}_i + \frac{\text{Day Length}_i}{2}\right)$ 
$Average LST$ represents the average Local Solar Time.
$N$ is the number of days in the summer daytime period.
Sunrise Time $i$ represents the sunrise time for the $i$ day.
Day Length $i$ represents the duration of daylight for the $i$ th day.","Higher temperatures can cause increased mortality, reduced productivity and damage to infrastructure. The most vulnerable members of the population, such as the elderly and infants, will be most severely affected.",https://data.london.gov.uk/dataset/major-summer-heatspots-using-landsat-8-thermal-satellite-data
Population density map,Health determinants,Soco-economic Env.,People per square kilometer,Census,$\text{Population Density} = \frac{\text{Total Population}}{\text{Area}}$,,
Crime rates,Health determinants,Soco-economic Env.,This formula gives the number of crimes per unit of population within a given time frame (normally last 24 months),Police records,$\text{Crime Rate} = \frac{\text{Number of crimes}}{\text{Population}} \times 1000$,,
Deprived communities,Health determinants,Soco-economic Env.,Index of Multiple Deprivation (IMD) Decile,Census,,,
Gender ratio,Health determinants,Soco-economic Env.,Male to female ratio,Census,$\text{Male to Female ratio} = \frac{\text{Number of Males}}{\text{Number of Females}}$,,
Aging population ratio,Health determinants,Soco-economic Env.,Proportion of people over 65 among all population,Census,$\text{Proportion} = \frac{\text{Number of people over 65}}{\text{Total population}} \times 100$,,
Walked distance,Health determinants,Health Behaviour,Distance walked per hex area per day,Survey,$\text{Distance walked per hex area per day} = \frac{\text{Total distance walked}}{\text{Total hex area}}$,"Walking and cycling have economic, social, environmental and health benefits.","https://iris.who.int/handle/10665/354589#:~:text=Active%20travel%20modes%2C%20especially%20walking,in%20trailblazer%20countries%2C%20but%20worldwide."
Ratio of active people,Health determinants,Health Behaviour,Proportion of active people (more than 30 mins exercise a week). These activities include sport; recreational walking and cycling; walking and cycling as active travel; dance and gardening.,Survey,"$\text{Proportion of Active People} = \frac{N_{Fairly Active} + N_{Very Active}}{\text{Total Population}} \times 100
$",,
Cycling flows,Health determinants,Health Behaviour,"The average number of cyclists  per unit of time, such as per hour or per day",Sensors,"

$\text{Cycling Flows} = \frac{\text{Number of Cyclists}}{\text{Time Period}}$","Walking and cycling have economic, social, environmental and health benefits. Cycling, in particular, is an effective way to burn calories, engage and strengthen muscles more comprehensively, and can lower the long-term risk of mortality from natural causes.","https://iris.who.int/handle/10665/354589#:~:text=Active%20travel%20modes%2C%20especially%20walking,in%20trailblazer%20countries%2C%20but%20worldwide."
Emotions,Health determinants,Perception,,,"See details in Emotion Detection (https://www.notion.so/Emotion-Detection-66f1f0646e8e47ca941d03e3133f2498?pvs=21) ",,
Life Expectancy at birth,Health outcomes,Physical Health,The average number of years that a newborn could expect to live,Health records,"$e_0=\sum_{x=0}^{\infty} l_x$

$e_0$ is the life expectancy at birth.
$l_x$ represents the number of people alive at age $x$. This is derived from the life table, which starts with a hypothetical cohort (often 100,000) at birth and subtracts the number of deaths observed in each age group to calculate the number of survivors.","Life expectancy at birth reflects the overall mortality level of a population. Life expectancy at birth is defined as how long, on average, a newborn can expect to live, if current death rates do not change.","https://blogs.worldbank.org/opendata/what-does-life-expectancy-birth-really-mean#:~:text=Life%20expectancy%20at%20birth%20is,number%20of%20newborns%20(100%2C000)."
