Name,Data,Category,Short Description,Suggested tools,Variable
Choropleth Mapping,Geospatial data (vector or raster) of health variables,Spatial Visualisation,Choropleth Mapping helps to understand and analyze the spatial distribution and patterns of health-related determinates and outcomes within urban areas.,"Geoda, Python, QGIS",Univariate
Bivariate Mapping,,Spatial Visualisation,Bivariate mapping is a visualisation technique used it to visually represent two different variables on a single map.,"Python, R",
Heat Maps (Kernel Density Estimation),Point-based data,Spatial Visualisation,Heat maps for urban health are visual representations that use color-coded gradients to depict variations in health-related indicators across different areas within a city.,"Geoda, QGIS",Univariate
Spatial Autocorrelation,,Spatial Analysis,Spatial autocorrelation analysis can be used in urban health research to examine the presence and characteristics of spatial clustering or spatial dependence in health data.,,
Hot Spots Analysis,,Spatial Analysis,"Hotspot identification is used for identifying areas within an urban environment that have a higher concentration of health issues or disparities compared to surrounding areas. It apply ","Geoda, Python, QGIS","Bivariable, Multivariable, Univariate"
Accessibility Analysis,"Geospatial data (vector or raster) of health variables, Point-based data",Spatial Analysis,"Accessibility Analysis evaluates the ease of reaching desired destinations or services, such as healthcare facilities or parks, within a geographic area. It considers factors such as distance, travel time, transportation networks, and the spatial distribution of resources.","ArcGIS, Python, QGIS, R","Bivariable, Multivariable"
Spatial Interpolation,,Spatial Analysis,Spatial interpolation is a technique used in urban health to estimate values of health-related variables or indicators at unsampled locations within an urban area.,,
Spatial Clustering and Regionalisation,"Point, Polygon",Spatial Analysis,Cluster analysis is a statistical method used in urban health research to identify distinct groups or clusters of areas based on their health characteristics.,"Geoda, Python, R","Bivariable, Multivariable"
Classification and Regression Trees,A collection of variables related to urban health,Spatial Modelling,"Decision Tree Regression and Classification, as a machine learning technique, is commonly used in urban health research to predict health-related outcomes or understand the importance of health-related variables","Python, R, Stata",Multivariable
Geographically Weighted Regression,,Spatial Modelling,Geographically Weighted Regression is a spatial statistical technique used in urban health studies to examine the relationships between health outcomes and predictors while considering spatial variations.,"Geoda, Stata",Multivariable
Emotion Detection,Geotagged social media data,,Emotion detection from geotagged social media data is to analyze and understand the emotions expressed by individuals in urban areas through their social media posts.,"Python, R",Univariate
Co-location Analysis,,Spatial Analysis,,Geoda,"Bivariable, Multivariable"
Semantic Segmentation,,,Semantic Segmentation is a computer vision task that is utilised to categorise each pixel in an image into a class or object.,,
